MANDT;OTYPE;OBJID;PLVAR;RSIGN;RELAT;ISTAT;PRIOX;BEGDA;ENDDA;VARYF;SEQNR;VALIDTO;SCLAS;SOBID
10;P;80100021;1;A;32;1;;25.04.2001;31.12.2015;Q 50018729;0;31.12.2011;;
10;P;80100021;1;A;32;1;;25.04.2001;31.12.9999;Q 50018723;0;31.12.2011;;
10;P;80100021;1;A;32;1;;25.04.2001;31.12.9999;Q 50018724;0;31.12.2011;;
10;P;80100021;1;A;32;1;;25.04.2001;31.12.9999;Q 50018727;0;31.12.2011;;
10;P;80100021;1;A;32;1;;27.10.2001;31.12.9999;Q 50018688;0;31.12.2011;;
10;P;80100021;1;A;32;1;;05.04.2002;19.04.2005;Q 50019002;0;31.12.2012;;
10;P;80100021;1;A;32;1;;10.09.2002;31.12.9999;Q 50018662;0;31.12.9999;;
10;P;80100021;1;A;32;1;;10.09.2002;31.12.9999;Q 50018769;0;31.12.9999;;
10;P;80100021;1;A;32;1;;01.01.2003;10.07.2003;Q 50018663;0;31.12.2004;;
10;P;80100021;1;A;32;1;;01.01.2003;10.07.2003;Q 50018667;0;31.12.2004;;
10;P;80100021;1;A;32;1;;01.01.2003;10.07.2003;Q 50018773;0;31.12.2004;;
10;P;80100021;1;A;32;1;;01.01.2003;13.02.2004;Q 50018684;0;31.12.2004;;
10;P;80100021;1;A;32;1;;01.01.2003;06.09.2004;Q 50018685;0;31.12.2004;;
10;P;80100021;1;A;32;1;;22.04.2003;31.12.9999;Q 50018770;0;31.12.9999;;
10;P;80100021;1;A;32;1;;11.07.2003;31.12.2005;Q 50018667;0;31.12.9999;;
10;P;80100021;1;A;32;1;;11.07.2003;31.12.2005;Q 50018773;0;31.12.9999;;
10;P;80100021;1;A;32;1;;11.07.2003;31.12.9999;Q 50018663;0;31.12.9999;;
10;P;80100021;1;A;32;1;;01.01.2004;27.09.2004;Q 50018682;0;31.12.2005;;
10;P;80100021;1;A;32;1;;01.01.2004;28.09.2004;Q 50018771;0;31.12.2005;;
10;P;80100021;1;A;32;1;;01.01.2004;29.09.2004;Q 50018762;0;31.12.2005;;
10;P;80100021;1;A;32;1;;01.01.2004;31.12.2005;Q 50018683;0;31.12.2005;;
10;P;80100021;1;A;32;1;;14.02.2004;31.12.2005;Q 50018684;0;31.12.9999;;
10;P;80100021;1;A;32;1;;12.04.2004;26.10.2004;Q 50018763;0;31.12.2014;;
10;P;80100021;1;A;32;1;;12.05.2004;12.04.2005;Q 50018761;0;31.12.2014;;
10;P;80100021;1;A;32;1;;12.06.2004;18.03.2009;Q 50018877;0;31.12.2014;;
10;P;80100021;1;A;32;1;;07.09.2004;31.12.2005;Q 50018685;0;31.12.9999;;
10;P;80100021;1;A;32;1;;28.09.2004;31.12.9999;Q 50018682;0;31.12.9999;;
10;P;80100021;1;A;32;1;;29.09.2004;31.12.9999;Q 50018771;0;31.12.9999;;
10;P;80100021;1;A;32;1;;30.09.2004;31.12.2005;Q 50018762;0;31.12.9999;;
10;P;80100021;1;A;32;1;;27.10.2004;31.12.2005;Q 50018763;0;31.12.2005;;
10;P;80100021;1;A;32;1;;01.01.2005;04.06.2006;Q 50018774;0;31.12.2006;;
10;P;80100021;1;A;32;1;;06.04.2005;31.12.2005;Q 50019003;0;31.12.2015;;
10;P;80100021;1;A;32;1;;13.04.2005;13.05.2005;Q 50018761;0;31.12.2006;;
10;P;80100021;1;A;32;1;;20.04.2005;31.12.2005;Q 50019002;0;31.12.2006;;
10;P;80100021;1;A;32;1;;26.04.2005;31.12.2005;Q 50018750;0;31.12.2015;;
10;P;80100021;1;A;32;1;;14.05.2005;31.12.2005;Q 50018761;0;31.12.9999;;
10;P;80100021;1;A;32;1;;09.08.2005;04.06.2006;Q 50018664;0;31.12.2006;;
10;P;80100021;1;A;32;1;;10.08.2005;31.12.2005;Q 50018655;0;31.12.2006;;
10;P;80100021;1;A;32;1;;23.09.2005;31.12.2005;Q 50019008;0;31.12.2015;;
10;P;80100021;1;A;32;1;;23.09.2005;31.12.2005;Q 50019009;0;31.12.2015;;
10;P;80100021;1;A;32;1;;19.11.2005;31.12.9999;Q 50018668;0;31.12.2015;;
10;P;80100021;1;A;32;1;;30.12.2005;31.12.9999;Q 50028195;0;31.12.9999;;
10;P;80100021;1;A;32;1;;30.12.2005;31.12.9999;Q 50028197;0;31.12.9999;;
10;P;80100021;1;A;32;1;;30.12.2005;31.12.9999;Q 50028198;0;31.12.9999;;
10;P;80100021;1;A;32;1;;30.12.2005;31.12.9999;Q 50028199;0;31.12.9999;;
10;P;80100021;1;A;32;1;;30.12.2005;31.12.9999;Q 50028200;0;31.12.9999;;
10;P;80100021;1;A;32;1;;30.12.2005;31.12.9999;Q 50028201;0;31.12.9999;;
